127.0.0.1 - - [02/Dec/2020:18:54:50 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:54:54 +0530] "GET /ORSProject4/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:54:54 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:54:56 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4344
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:54:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:55:01 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5564
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:55:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:55:13 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 5621
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:55:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:55:16 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:55:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:55:19 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:55:19 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:55:19 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:55:23 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:55:24 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:59:06 +0530] "GET /ORSProject4/doc/in/co/rays/proj4/ctl/package-frame.html HTTP/1.1" 200 4248
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:59:06 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:59:09 +0530] "GET /ORSProject4/doc/in/co/rays/proj4/ctl/CollegeCtl.html HTTP/1.1" 200 21734
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:59:10 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:59:38 +0530] "GET /ORSProject4/doc/in/co/rays/proj4/ctl/UserListCtl.html HTTP/1.1" 200 21081
0:0:0:0:0:0:0:1 - - [02/Dec/2020:18:59:38 +0530] "GET /ORSProject4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1035
